CodEstacao,NomeEstacao,CodLinha,NomeLinha,CodProxEst,DistanciaProxEst,CodLinhaInteg,CodEstacaoInteg
190,Jardim Romano,12,Safira,191,1990,,
144,Granja Julieta,9,Esmeralda,145,1700,,
78,Moema,5,Lilas,79,1314,,
29,Brigadeiro,2,Verde,30,1015,,
150,Primavera-Interlagos,9,Esmeralda,151,1670,,
183,Tatuape,12,Safira,184,8850,3,48
95,Varzea Paulista,7,Rubi,96,5860,,
164,Ribeirao Pires,10,Turquesa,165,4400,,
179,Braz Cubas,11,Coral,180,3330,,
127,Jardim Belval,8,Diamante,128,1200,,
141,Vila Olimpia,9,Esmeralda,142,1360,,
83,Vila Prudente,15,Prata,84,2239,2,37
60,Fradique Coutinho,4,Amarela,61,1557,,
41,Republica,3,Vermelha,42,606,4,56
44,Pedro II,3,Vermelha,45,1044,,
42,Anhangabau,3,Vermelha,43,652,,
182,Bras,12,Safira,183,4220,11,167
139,Hebraica-Reboucas,9,Esmeralda,140,1500,,
98,Francisco Morato,7,Rubi,99,3580,,
25,Sumare,2,Verde,26,769,,
86,Camilo Haddad,15,Prata,87,1200,,
128,Jardim Silveira,8,Diamante,129,1080,,
96,Campo Limpo Paulista,7,Rubi,97,3970,,
170,Dom Bosco,11,Coral,171,1690,,
130,Sagrado Coracao,8,Diamante,131,1660,,
30,Paraiso,2,Verde,31,706,1,15
68,Vila das Belezas,5,Lilas,69,1642,,
163,Guapituba,10,Turquesa,164,4450,,
106,Pirituba,7,Rubi,107,2150,,
175,Poa,11,Coral,176,1160,,
116,Domingos de Moras,8,Diamante,117,1790,,
76,Campo Belo,5,Lilas,77,1707,,
84,Oratorio,15,Prata,85,2000,,
2,Parada Inglesa,1,Azul,3,1057,,
82,Chacara Klabin,5,Lilas,,,2,32
110,Palmeiras-Barra Funda,7,Rubi,111,3600,3,38
87,Vila Tostoi,15,Prata,88,1210,,
36,Tamanduatei,2,Verde,37,1280,10,156
108,Lapa,7,Rubi,109,1640,8,115
33,Santos-Imigrantes,2,Verde,34,1121,,
112,Bras,7,Rubi,,,10,153
188,Jardim Helena-Vila Mara,12,Safira,189,1910,,
65,Vila Sonia,4,Amarela,,,,
12,Japao-Liberdade,1,Azul,13,825,,
7,Armenia,1,Azul,8,691,,
134,Presidente Altino,9,Esmeralda,135,2490,8,118
21,Sao Judas,1,Azul,22,1096,,
154,Juventus-Mooca,10,Turquesa,155,2960,,
133,Osasco,9,Esmeralda,134,1680,8,119
197,Tatuape,13,Jade,198,8850,11,168
115,Lapa,8,Diamante,116,2450,7,108
20,Saude,1,Azul,21,790,,
192,Itaquaquecetuba,12,Safira,193,2670,,
18,Santa Cruz,1,Azul,19,1312,5,81
114,Palmeiras-Barra Funda,8,Diamante,115,3350,,
54,Corinthians-Itaquera,3,Vermelha,,,11,169
93,Jardim Colonial,15,Prata,,,,
123,Carapicuiba,8,Diamante,124,1350,,
