CodEstacao,NomeEstacao,CodLinha,NomeLinha,CodProxEst,DistanciaProxEst,CodLinhaInteg,CodEstacaoInteg
1,Tucuruvi,1,Azul,2,992,,
2,Parada Inglesa,1,Azul,3,1057,,
3,Jardim Sao Paulo,1,Azul,4,1474,,
4,Santana,1,Azul,5,740,,
5,Carandiru,1,Azul,6,760,,
6,Portuguesa-Tiete,1,Azul,7,1245,,
7,Armenia,1,Azul,8,691,,
8,Tiradentes,1,Azul,9,658,,
9,Luz,1,Azul,10,762,4,55
10,Sao Bento,1,Azul,11,739,,
11,Se,1,Azul,12,544,3,43
12,Japao-Liberdade,1,Azul,13,825,,
13,Sao Joaquim,1,Azul,14,843,,
14,Vergueiro,1,Azul,15,683,,
15,Paraiso,1,Azul,16,702,2,29
16,Ana Rosa,1,Azul,17,973,2,30
17,Vila Mariana,1,Azul,18,1138,,
18,Santa Cruz,1,Azul,19,1312,5,81
19,Praça da arvore,1,Azul,20,896,,
20,Saude,1,Azul,21,790,,
21,Sao Judas,1,Azul,22,1096,,
22,Conceiçao,1,Azul,23,1183,,
23,Jabaquara,1,Azul,,,,
24,Vila Madalena,2,Verde,25,1489,,
25,Sumare,2,Verde,26,769,,
26,Clinicas,2,Verde,27,1063,,
27,Consolaçao,2,Verde,28,982,4,58
28,Trianon-Masp,2,Verde,29,954,,
29,Brigadeiro,2,Verde,30,1015,,
30,Paraiso,2,Verde,31,706,1,15
31,Ana Rosa,2,Verde,32,1526,1,16
32,Chacara Klabin,2,Verde,33,1119,5,82
33,Santos-Imigrantes,2,Verde,34,1121,,
34,Alto do Ipiranga,2,Verde,35,900,,
35,Sacoma,2,Verde,36,1702,,
36,Tamanduatei,2,Verde,37,1280,10,156
37,Vila Prudente,2,Verde,,,15,83
38,Palmeiras-Barra Funda,3,Vermelha,39,1544,7,110
39,Marechal Deodoro,3,Vermelha,40,926,,
40,Santa Cecilia,3,Vermelha,41,820,,
41,Republica,3,Vermelha,42,606,4,56
42,Anhangabau,3,Vermelha,43,652,,
43,Se,3,Vermelha,44,727,1,11
44,Pedro II,3,Vermelha,45,1044,,
45,Bras,3,Vermelha,46,873,13,196
46,Bresser-Mooca,3,Vermelha,47,1825,,
47,Belem,3,Vermelha,48,1427,,
48,Tatuape,3,Vermelha,49,1280,12,183
49,Carrao,3,Vermelha,50,2280,,
50,Penha,3,Vermelha,51,1183,,
51,Guilhermina-Esperança,3,Vermelha,52,1534,,
52,Patriarca-Vila Re,3,Vemelha,53,1722,,
53,Artur Alvin,3,Vermelha,54,1461,,
54,Corinthians-Itaquera,3,Vermelha,,,11,169
55,Luz,4,Amarela,56,1257,1,9
56,Republica,4,Amarela,57,1112,3,41
57,Higienopolis-Mackenzie,4,Amarela,58,1226,,
58,Paulista,4,Amarela,59,1195,2,27
59,Oscar Freire,4,Amarela,60,878,,
60,Fradique Coutinho,4,Amarela,61,1557,,
61,Faria Lima,4,Amarela,61,866,,
62,Pinheiros,4,Amarela,62,878,9,138
63,Butanta,4,Amarela,63,2471,,
